"case","site","crop","incpt","incpt.025","incpt.975","slope","slope.025","slope.975","rng.l","rng.u","rsqur","n","crop2"
"CA-ER1_hay","CA-ER1","hay",-0.00653960228055492,-0.0169771606257616,0.00311086570038217,0.336698162664271,0.311307944881967,0.364159201861934,0,1.3595,0.909232787593447,61,"other"
"CA-ER2_corn","CA-ER2","corn",-0.0717385429506183,-0.172886658922864,0.0191995534822806,0.561740712792999,0.505037890416781,0.624809810109054,0,3.0235,0.835486835634096,60,"corn"
"US-Br1_corn","US-Br1","corn",-0.0792724150228497,-0.17430914830729,0.00459355791845417,0.543218897032546,0.479368132145124,0.615574441239497,0,3.059,0.874692594002092,35,"corn"
"US-Br1_soybean","US-Br1","soybean",-0.0394526562248533,-0.0716443309227507,-0.0123693528683327,0.361409841574945,0.304059122964661,0.42957788049138,0,1.1858,0.759591763247825,35,"soybean"
"US-Br3_corn","US-Br3","corn",0.0964649926325405,-0.0630543061670665,0.223848543210065,0.476405759809259,0.380432070957902,0.59659125848134,0,3.0178,0.616432370818925,33,"corn"
"US-Br3_soybean","US-Br3","soybean",0.0085470063360468,-0.0171569870603847,0.0306160430652734,0.340506854162485,0.292353727110299,0.396591207773068,0,1.026,0.770580109577853,42,"soybean"
"US-CRT_soybean","US-CRT","soybean",0.0400626206738287,-0.0496343547830929,0.11162679401155,0.713497036339061,0.569259167596368,0.894281638035182,0,1.125,0.882201193052167,13,"soybean"
"US-CRT_wheat","US-CRT","wheat",0.0345144992983022,-0.0310259412474221,0.0841472454848724,0.582973660508875,0.441476796380495,0.769821407678703,0,1.14,0.819922113477249,13,"other"
"US-IB1_corn","US-IB1","corn",-0.0930031678957799,-0.259797729653209,0.0528969835067319,0.652178660458351,0.570480022248825,0.745577388460644,0.23,2.88,0.963702094640585,12,"corn"
"US-IB1_soybean","US-IB1","soybean",-0.227981563977279,-0.622663341493838,-0.0167283076727923,0.552087512498579,0.295504610104466,1.03145809247821,0.32,1.49,0.105170306952488,12,"soybean"
"US-IB2_prairie","US-IB2","prairie",-0.181973080599965,-0.290008371486269,-0.0890141174514875,0.563882852860041,0.485192985635032,0.655334848531292,0.33,2.68,0.759356675880141,45,"grass"
"US-KL1_corn","US-KL1","corn",0.48636636711779,0.28200785832099,0.647465932504513,0.637418616611244,0.502488801225222,0.808580194845937,0.01,2.86,0.883879671374189,12,"corn"
"US-KL2_switchgrass","US-KL2","switchgras",-0.00847784625539694,-0.404843254512502,0.225229086522279,0.727224297515415,0.42878958777221,1.23336758628975,0.1,1.18,0.305138885811909,13,"other"
"US-KL3_prairie","US-KL3","prairie",-0.0505922273492697,-0.342127306291733,0.150551168241479,0.644386053244976,0.444591434043501,0.933966230163597,0.1,1.6,0.672591916550731,13,"grass"
"US-KM1_corn","US-KM1","corn",0.0998571093295972,-0.0340802245240538,0.206982283130179,0.484079312009673,0.387174202593617,0.605238620615737,0.01,2.74,0.897813841309682,12,"corn"
"US-KM2_prairie","US-KM2","prairie",-0.130922904884943,-0.312376327040773,0.0144188722491994,1.03908715550097,0.832294987790723,1.29725894372271,0.05,1.75,0.899169916190637,12,"grass"
"US-KM3_switchgrass","US-KM3","switchgras",0.0206718837499423,-0.0752166535624731,0.102708245327271,0.579827809077854,0.4960651724525,0.677734110052277,0.05,1.72,0.944273503939223,13,"other"
"US-KM4_prairie","US-KM4","prairie",0.103736134784373,-0.173609807595452,0.272103195841439,0.577833771297253,0.350782755348926,0.951848008946394,0.1,1,0.385763146361247,13,"grass"
"US-Ne1_corn","US-Ne1","corn",-0.165328752227453,-0.217801754965726,-0.116803623457516,0.378235151250111,0.349778142319666,0.409007345891982,0,3.3,0.853827445962868,96,"corn"
"US-Ne2_corn","US-Ne2","corn",-0.107727268924875,-0.170531806182255,-0.0489435472099227,0.571489381197138,0.534902002536379,0.610579342145715,0,3.3,0.953650547372128,45,"corn"
"US-Ne2_soybean","US-Ne2","soybean",0.0576400814889359,0.00634720504207498,0.0996326891650146,0.421086879861794,0.344736684087105,0.514346655219723,0.1,1.1,0.750411083802142,28,"soybean"
"US-Ne3_corn","US-Ne3","corn",-0.1597905942682,-0.246759233200359,-0.0800620850857422,0.580958362921129,0.532593642277358,0.633715074038064,0,3,0.943552467637118,33,"corn"
"US-Ne3_soybean","US-Ne3","soybean",0.0206643528064672,-0.0215024131603917,0.0559315337471067,0.401990125970592,0.336214034533685,0.480634491067512,0,1,0.642055529613058,47,"soybean"
"US-Ro1_corn","US-Ro1","corn",-0.158627211633993,-0.225887392795246,-0.0955366328100712,0.700748887781367,0.657307967017703,0.747060781804882,0.0740909090909091,2.73636363636364,0.969435318287563,33,"corn"
"US-Ro1_soybean","US-Ro1","soybean",0.0408530786389684,-0.00591638702725242,0.07871346463195,0.34406647270015,0.278525513988921,0.425030137960835,0.120652173913043,1.04697674418605,0.873745874140475,15,"soybean"
"US-Ro3_corn","US-Ro3","corn",-0.235193259325901,-0.451638904399701,-0.0580813946744997,0.755339485244124,0.618074734794513,0.923088594065473,0.0915,2.62828947368421,0.896952804255778,14,"corn"
"US-Ro3_soybean","US-Ro3","soybean",0.0915850618694187,-0.00536826318853978,0.152738644902552,0.358132404634858,0.225893023582236,0.567785658961944,0.108461538461538,0.739777777777778,0.129853865832031,19,"soybean"
"US-Shd_grass","US-Shd","grass",-0.0438742128602047,-0.0808251149374191,-0.0135648568417188,0.430060834865912,0.352761806093934,0.524298034794378,0,0.62,0.651888575325238,38,"grass"
"US-Tw3_alfafa","US-Tw3","alfafa",0.0623990660812551,0.034878618034354,0.0837797530038461,0.353812302110388,0.274877431061127,0.455414417405603,0.02,0.5965,0.565637828188028,30,"other"
"US-Twt_rice","US-Twt","rice",-0.0559711154347544,-0.102828401488019,-0.0163214548601947,0.419231583053592,0.35474504330692,0.495440665192211,0.1095,0.934,0.65102528710727,52,"other"
"US-Var_grass","US-Var","grass",0.418333220841287,0.377631491930383,0.481435091607981,-0.422615441795815,-0.655201282741192,-0.272593806436154,0.04,0.5865625,0.00502977509671517,23,"grass"
